TIME,GEO,NUTRIENT,UNIT,Value,Flag and Footnotes
2011,Sweden,Nitrogen,Tonne,169800,
2011,Sweden,Phosphorus,Tonne,10300,
2011,United Kingdom,Nitrogen,Tonne,1022082,
2011,United Kingdom,Phosphorus,Tonne,83522,
2011,Norway,Nitrogen,Tonne,95548,
2011,Norway,Phosphorus,Tonne,8757,
2011,Switzerland,Nitrogen,Tonne,48900,
2011,Switzerland,Phosphorus,Tonne,4585,
2011,Turkey,Nitrogen,Tonne,1259352,
2011,Turkey,Phosphorus,Tonne,214008,
2012,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Nitrogen,Tonne,10277765,e
2012,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Phosphorus,Tonne,1212564,e
2012,European Union - 28 countries,Nitrogen,Tonne,10384649,e
2012,European Union - 28 countries,Phosphorus,Tonne,1226894,e
2012,Belgium,Nitrogen,Tonne,143089,
2012,Belgium,Phosphorus,Tonne,4472,e
2012,Bulgaria,Nitrogen,Tonne,235386,
2012,Bulgaria,Phosphorus,Tonne,20798,
2012,Czechia,Nitrogen,Tonne,349008,
2012,Czechia,Phosphorus,Tonne,18713,
2012,Denmark,Nitrogen,Tonne,187000,
2012,Denmark,Phosphorus,Tonne,12800,
2012,Germany (until 1990 former territory of the FRG),Nitrogen,Tonne,1640414,
2012,Germany (until 1990 former territory of the FRG),Phosphorus,Tonne,107880,
2012,Estonia,Nitrogen,Tonne,32978,
2012,Estonia,Phosphorus,Tonne,2955,
2012,Ireland,Nitrogen,Tonne,296536,
2012,Ireland,Phosphorus,Tonne,27421,
2012,Greece,Nitrogen,Tonne,175445,
2012,Greece,Phosphorus,Tonne,21734,
2012,Spain,Nitrogen,Tonne,843410,
2012,Spain,Phosphorus,Tonne,164427,
2012,France,Nitrogen,Tonne,2024929,
2012,France,Phosphorus,Tonne,189633,
2012,Croatia,Nitrogen,Tonne,106884,
2012,Croatia,Phosphorus,Tonne,14330,
2012,Italy,Nitrogen,Tonne,583849,
2012,Italy,Phosphorus,Tonne,229735,
